objid,map_type,hash_id,name,scale,equip,map_static,korok_id,korok_type,x,y,z
499086,MainField,0xaaf293566632424e,Enemy_Zonau_BlockMaster_Senior,0,None,1,None,None,1133.32,862.67,3272.54
500305,MainField,0x963d5c93884b0a73,Enemy_Zonau_BlockMaster_Junior,0,None,1,None,None,-3471.79,1035.9,-3519.27
500809,MainField,0xae9f2a37a42c8d82,Enemy_Zonau_BlockMaster_Middle,0,None,1,None,None,3386.44,1395.97,-633.13
501807,MainField,0xc490391a0975f8c1,Enemy_Zonau_BlockMaster_Middle,0,None,1,None,None,3674.13,1094.38,-1808.69
503123,MainField,0xe49b5ef8ba5d523e,Enemy_Zonau_BlockMaster_Middle,0,None,1,None,None,-1343.78,907.24,1547.72
503941,MainField,0x821e623ecb830c97,Enemy_Zonau_BlockMaster_Senior,0,None,1,None,None,3301.5,900.13,-3434.16
505684,MainField,0xa0cca1e8768530fe,Enemy_Zonau_BlockMaster_Senior,0,None,1,None,None,3044.02,1306.88,2777.21
506450,MainField,0xee686ad6075857ae,Enemy_Zonau_BlockMaster_Senior,0,None,1,None,None,2559.25,1000.13,3601.44
507246,MainField,0x7a0a9a52d097dbd5,Enemy_Zonau_BlockMaster_Junior,0,None,1,None,None,442.06,1767.27,-2467.88
507995,MainField,0xf0632e40a942bbf0,Enemy_Zonau_BlockMaster_Senior,0,None,1,None,None,-2290.43,1000.13,411.74
508067,MainField,0xf0742bec4ed36807,Enemy_Zonau_BlockMaster_Senior,0,None,1,None,None,-325.65,1000.13,2591.48
510475,MainField,0x8ddc63ed86028894,Enemy_Zonau_BlockMaster_Junior,0,None,1,None,None,-3834.43,650.1,-2720.75
511781,MainField,0x5bc59415a1a57123,Enemy_Zonau_BlockMaster_Senior,0,None,1,None,None,-3450.49,1539.91,-658.07
512243,MainField,0xff309cbff694ac82,Enemy_Zonau_BlockMaster_Middle,0,None,1,None,None,3000.41,1000.13,251.78
520659,MainField,0xc7c3db738495caef,Enemy_Zonau_BlockMaster_Junior_Beginning,0,None,1,None,None,491.65,1544.55,1516.38
283851,MinusField,0x2439b1a2762e05af,Enemy_Zonau_BlockMaster_Senior,0,None,0,None,None,-4412.77,-440.33,-2239.77
287040,MinusField,0x5058b0f32c49603d,Enemy_Zonau_BlockMaster_Senior,0,None,0,None,None,-4085.54,-1005.22,952.67
295481,MinusField,0xbd5d3280de3741b1,Enemy_Zonau_BlockMaster_Middle,0,None,0,None,None,-4146.5,-379.4,2961
329373,MinusField,0x51edfca900046bec,Enemy_Zonau_BlockMaster_Senior,0,None,0,None,None,-2619.93,-582.28,-1705.06
339358,MinusField,0xf9ca7f607ba249fc,Enemy_Zonau_BlockMaster_Junior,0,None,0,None,None,-2182.06,-580.84,1502.59
373625,MinusField,0x795ba2da04b99cc7,Enemy_Zonau_BlockMaster_Senior,0,None,1,None,None,-1795,-417.51,3462.5
374989,MinusField,0x5ca362efc15e8f32,Enemy_Zonau_BlockMaster_Senior,0,None,1,None,None,-814.75,-576.76,-3534.4
378181,MinusField,0x30586b3dcbe6a060,Enemy_Zonau_BlockMaster_Middle,0,None,0,None,None,-723.27,-409.19,-1263.34
398419,MinusField,0x10803d424a3a5980,Enemy_Zonau_BlockMaster_Middle,0,None,0,None,None,224.61,-405.98,-3673.67
407592,MinusField,0xc337b04248b71159,Enemy_Zonau_BlockMaster_Senior,0,None,0,None,None,869.61,-433.47,-678.48
411072,MinusField,0x52bb4b3446db6dab,Enemy_Zonau_BlockMaster_Junior,0,None,0,None,None,717.13,-352.1,644
422080,MinusField,0xca283a1ea746e622,Enemy_Zonau_BlockMaster_Junior,0,None,0,None,None,100.87,-347.08,3714.13
444988,MinusField,0xef468ac597beb653,Enemy_Zonau_BlockMaster_Middle,0,None,0,None,None,2680.14,-572.89,-3472.9
452468,MinusField,0x3c9017d5d75ec3cd,Enemy_Zonau_BlockMaster_Middle,0,None,0,None,None,2638.95,-551.75,937.24
455802,MinusField,0xe91cd1b52e943688,Enemy_Zonau_BlockMaster_Middle,0,None,0,None,None,2512.44,-540.23,1271.55
468478,MinusField,0x9aad113ea4ebb2e4,Enemy_Zonau_BlockMaster_Middle,0,None,0,None,None,3700.93,-365.65,-2906.14
471060,MinusField,0x45d2ffef8ae58322,Enemy_Zonau_BlockMaster_Middle,0,None,0,None,None,3197.77,-737.28,-1019.61
480387,MinusField,0xf43acedeba93490f,Enemy_Zonau_BlockMaster_Middle,0,None,0,None,None,3527.25,-499.76,1340.16
485901,MinusField,0x85812ae825b9b1da,Enemy_Zonau_BlockMaster_Senior,0,None,0,None,None,3263.08,-340.86,3702.87
487798,MinusField,0x0cc0434920c68c50,Enemy_Zonau_BlockMaster_Senior,0,None,1,None,None,4654.9,-340.45,-3697
