objid,map_type,Location,Id,hash_id,name,scale,equip,map_static,korok_id,korok_type,x,y,z
284682,MinusField,,DH04,0x1449919ef9ea35da,Enemy_Mogurudo_Senior,0,None,1,None,None,-4398.36,-561.1,-2661.05
291588,MinusField,,DG01,0xabc6516153d98e04,Enemy_Mogurudo_Senior,0,None,1,None,None,-4695.84,-833.85,1228.42
294172,MinusField,,DG04,0x1533bc90305784b7,Enemy_Mogurudo_Middle,0,None,1,None,None,-4094.03,-385,2554.79
296821,MinusField,,DG10,0xc7f15bce344c5a2c,Enemy_Mogurudo_Middle,0,None,1,None,None,-4674.43,-362.55,3502.28
302507,MinusField,,DH03,0x8043305c24997138,Enemy_Mogurudo_Senior,0,None,1,None,None,-3191.13,-782.15,-2670.53
305554,MinusField,,DH07,0x894c856e492d8a88,Enemy_Mogurudo_Senior,0,None,1,None,None,-3719.18,-445.35,-1002.75
308831,MinusField,,DH08,0xc03ac7b7e44636c7,Enemy_Mogurudo_Senior,0,None,1,None,None,-3890.91,-467.44,-560.14
316274,MinusField,,DG02,0xea8019cd40802a86,Enemy_Mogurudo_Senior,0,None,1,None,None,-3627.56,-698.73,1548.83
323152,MinusField,,DG08,0x3e0db8e966784601,Enemy_Mogurudo_Junior,0,None,1,None,None,-3428.3,-361.99,3228.98
331158,MinusField,,DH06,0x89c6c19221fef5d4,Enemy_Mogurudo_Senior,0,None,1,None,None,-2280.31,-606.88,-1933.56
334456,MinusField,,DC04,0x5c8608f55e49be36,Enemy_Mogurudo_Middle,0,None,1,None,None,-2248.71,-443.48,-451.18
340857,MinusField,,DG03,0x26b7746911947d00,Enemy_Mogurudo_Junior,0,None,1,None,None,-2252.92,-477.77,1975.24
343813,MinusField,,DG06,0x9f163f80aa6e7605,Enemy_Mogurudo_Middle,0,None,1,None,None,-2998.11,-357.36,2680.18
346594,MinusField,,DG09,0xa901e7ccc8be872d,Enemy_Mogurudo_Junior,0,None,1,None,None,-2770.76,-335.8,3329.55
346673,MinusField,,DG07,0x88a425e8d5ca3740,Enemy_Mogurudo_Junior,0,None,1,None,None,-2439.35,-368.77,3123.45
349394,MinusField,,DH01,0x656eef8424f44012,Enemy_Mogurudo_Senior,0,None,1,None,None,-1779.63,-571.49,-3657.96
352996,MinusField,,DH02,0x47a68d1349cb33f4,Enemy_Mogurudo_Middle,0,None,1,None,None,-960.1,-513.51,-2852.44
353019,MinusField,,DH05,0x85311c0e16cc7f35,Enemy_Mogurudo_Senior,0,None,1,None,None,-1839.02,-570.72,-2413.44
360165,MinusField,,DC01,0x84518d5ca07602a3,Enemy_Mogurudo_Middle,0,None,1,None,None,-1339.56,-435.09,-972.64
363648,MinusField,,DC07,0xb9b2e4ab94acb37a,Enemy_Mogurudo_Middle,0,None,1,None,None,-1619.07,-393.14,395.15
370383,MinusField,,DG05,0x998fb1829c77783f,Enemy_Mogurudo_Junior,0,None,1,None,None,-1909.97,-483.71,2608.05
377042,MinusField,,DE02,0x0e65fb5a46146e24,Enemy_Mogurudo_Middle,0,None,1,None,None,-190.07,-510.86,-2937.95
379620,MinusField,,DE04,0x088ef8a36588c102,Enemy_Mogurudo_Middle,0,None,1,None,None,-875.31,-439.93,-1742.17
383560,MinusField,,DC03,0xab9baf8f0d6bbe70,Enemy_Mogurudo_Senior,0,None,1,None,None,-764.42,-359.45,-833.22
383588,MinusField,,DC05,0x1b76b5d289c2d43b,Enemy_Mogurudo_Junior,0,None,1,None,None,-571.5,-358.61,-222.5
392376,MinusField,,DC10,0xad790d082dec37e4,Enemy_Mogurudo_Junior,0,None,1,None,None,-293.3,-355.53,1813.55
392403,MinusField,,DC09,0x8f556340093c7d60,Enemy_Mogurudo_Junior,0,None,1,None,None,-794.37,-363.89,1088.92
394614,MinusField,,DF01,0x844dbc463446497b,Enemy_Mogurudo_Junior,0,None,1,None,None,-845.63,-409.58,2867.85
397246,MinusField,,DF02,0xb3fbad88e23fb180,Enemy_Mogurudo_Junior,0,None,1,None,None,-325.07,-360.04,3141.81
399959,MinusField,,DE01,0x4eb2212aea8e1e8d,Enemy_Mogurudo_Middle,0,None,1,None,None,551.93,-485.95,-3439.71
409178,MinusField,,DC02,0xae54f884ef59deb1,Enemy_Mogurudo_Senior,0,None,1,None,None,204.02,-366.99,-890.5
412509,MinusField,,DC08,0xa9305156d60a6b06,Enemy_Mogurudo_Junior,0,None,1,None,None,176.5,-371.01,862.5
423574,MinusField,,DF03,0xaa062c9e7d5c471d,Enemy_Mogurudo_Middle,0,None,1,None,None,844.96,-369.68,3388.04
433867,MinusField,,DC06,0x3a9226b500541507,Enemy_Mogurudo_Senior,0,None,1,None,None,1069.44,-360.31,40.94
448238,MinusField,,DE03,0x3cb45e0bdc011136,Enemy_Mogurudo_Junior,0,None,1,None,None,2119.38,-648.55,-1749.79
451086,MinusField,,DA03,0xe709820b7209007d,Enemy_Mogurudo_Middle,0,None,1,None,None,2490.97,-394.67,-841.89
464465,MinusField,,DL02,0xb4abde0a208b1488,Enemy_Mogurudo_Senior,0,None,1,None,None,2126.56,-341.86,3473.63
478983,MinusField,,DL01,0x9f0a8dac8deaf737,Enemy_Mogurudo_Middle,0,None,1,None,None,3035.56,-407.2,798.21
489739,MinusField,,DA01,0xa25610411bfaa585,Enemy_Mogurudo_Middle,0,None,1,None,None,4028.19,-363.63,-2187.6
493209,MinusField,,DA02,0xc007ce31d3619ff4,Enemy_Mogurudo_Middle,0,None,1,None,None,4142.49,-579.64,-1002.47
