objid,map_type,hash_id,name,scale,equip,map_static,korok_id,korok_type,x,y,z
9327,MainField,0xbc5ea07d009de5c0,Enemy_Giant_Senior,0,['GiantGreave_Iron_R'],1,None,None,-4205,533.63,1292
16629,MainField,0xa7b4654b3919acea,Enemy_Giant_Middle,0,['GiantGreave_Iron_L'],1,None,None,-3654.67,335.72,-3806.21
25447,MainField,0x0b4f6cb0a1f3de00,Enemy_Giant_Bone,0,None,1,None,None,-3794.04,246.11,-1557.18
52735,MainField,0x116508a2695329fd,Enemy_Giant_Junior,0,None,1,None,None,-2825,509.11,-2433
56545,MainField,0x590e090419f507d1,Enemy_Giant_Junior,0,['GiantGreave_Wood_L', 'GiantGreave_Wood_R'],1,None,None,-2735.93,265.35,-1334.03
60386,MainField,0xa92a806d9149143e,Enemy_Giant_Junior,0,['GiantGreave_Wood_L'],1,None,None,-2221.12,208.23,-758.69
69214,MainField,0xda0825db4aa31466,Enemy_Giant_Middle,0,['GiantGreave_Wood_R'],1,None,None,-2014.25,207.11,1200.44
81217,MainField,0x5cf3966859b4a73b,Enemy_Giant_Junior,0,['GiantGreave_Wood_R'],1,None,None,-1245.5,211,-2108.5
88639,MainField,0x3b02c7f53eec4402,Enemy_Giant_Junior,0,None,1,None,None,-1080.39,141.05,-462.47
92231,MainField,0x916c6930c476b79f,Enemy_Giant_Bone,0,None,1,None,None,-1177.03,139.57,114.59
106136,MainField,0x3b76ae4c48b0a312,Enemy_Giant_Junior,0,['GiantGreave_Wood_L', 'GiantGreave_Wood_R'],1,None,None,-407.47,281.83,-2011.41
108615,MainField,0x9e17d1551063fd24,Enemy_Giant_Junior,0,['GiantGreave_Iron_R'],1,None,None,-742.31,186.96,-1262.77
131305,MainField,0x7ece417af4f0dceb,Enemy_Giant_Middle,0,['GiantGreave_Wood_R'],1,None,None,-806.52,224.73,3019.35
134501,MainField,0xa8ecbb3dd76cdb92,Enemy_Giant_Senior,0,['GiantGreave_Iron_R'],1,None,None,839.78,303.9,-3362.72
157211,MainField,0x903b7128225feb09,Enemy_Giant_Junior,0,None,1,None,None,692.68,116.69,1080.79
157438,MainField,0x08386ead19f19155,Enemy_Giant_Bone,0,None,1,None,None,780.39,119.21,1954.19
185501,MainField,0xf888e395d2b008ff,Enemy_Giant_Junior,0,None,1,None,None,1305.27,132.74,-910.26
194014,MainField,0xbc68eed374c9e0ed,Enemy_Giant_Junior,0,None,1,None,None,1469.5,203.95,1329.5
